    Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"明天你是否依然愛我","童安格","其實你不懂我的心","華語經典","Playlist","TWA750100511","0s7IhdKVzfT6Uot1OBODm3"
"淚海","Valen Hsu","茹此精彩十三首","華語經典","Playlist","TWA559600081","5YrYp3AntV4Pmd6O0qT4zH"
"獨角戲","Valen Hsu","如果雲知道","華語經典","Playlist","TWA559610006","3lNETUpm5NjmJ6NZrZRFqZ"
"特別的愛給特別的你","SKY WU","特別的愛給特別的你","華語經典","Playlist","HKI321081304","7ysZP7MPshK2jFNN4nA4vi"
"就在今夜","丘丘合唱團","歌聲滿行囊","華語經典","Playlist","TWA511300523","10BDpme56VKOEI4XV7cK8l"
"哭砂 - Remastered","Tracy Huang","讓愛自由 (Remastered)","華語經典","Playlist","TWA531801055","240AkEtInwSJhgZ3liTgYc"
"大約在冬季","Chyi Chin","巨星精選(二) - 揚帆","華語經典","Playlist","TWA119000108","5EKNw1Hf4MSmB3aF7jIWpW"
"心情","鄭怡","心情","華語經典","Playlist","TWA178700601","39Hg3YBmcOLfMnerg0DnLD"
"愛的進行式","Sarah Chen","給淑樺的一封信","華語經典","Playlist","TWA459439201","1eWlgP7VZVjRxFaPXtJwru"
"味道","Winnie Hsin","我也會愛上別人的","華語經典","Playlist","TWA459445202","4i7vwztMvx9XP1DnRHJ1Uo"
"領悟","Winnie Hsin","領悟","華語經典","Playlist","TWA459442601","0nRIRTq9pPN3lPc5kUoyFJ"
"Medley: ""失戀 + 寶貝對不起""","Grasshopper","我們的草蜢演唱會","華語經典","Playlist","HKA120511009","4qhI1pLHIVdZoKmloSoP6r"
"童年","張艾嘉","童年","華語經典","Playlist","TWA458100503","1vf1W64zHB38NbhWAEEjm4"
"愛情陷阱","Alan Tam","雷霆精選","華語經典","Playlist","HKA619900247","32QZrvJocfxuCGkCwcrkSJ"
"你看你看月亮的臉","孟庭葦","孟庭葦鑽石金選集 1990 - 1994 (上)","華語經典","Playlist","TWA559144101","1grS6q7iMVDX9oBUJMaqhL"
"紅蜻蜓","小虎隊","紅蜻蜓","華語經典","Playlist","TWA539012901","1PVZCOp1NYXQ5TwxYmw4SM"
"外婆的澎湖灣","潘安邦","外婆的澎湖灣","華語經典","Playlist","TWA311300107","3oR1GxHz2k8Zzo3232qgX4"
"風中有朵雨做的雲","孟庭葦","風中有朵雨做的雲","華語經典","Playlist","TWA559344201","1iVQZ2KAAoAvp3oBWJkkxY"
"飛向你飛向我 - 修復版","金瑞瑤","歌林金碟系列: Vol. 2: 巨星情懐 (珍藏版) [修復版]","華語經典","Playlist","MYHY11500977","5wa9RM6USmlie3sjd8Jf4y"
"我終於失去了妳","Zhao Chuan","我終於失去了妳","華語經典","Playlist","TWA458919802","1QWrG9mWkdKUfnUEITIxSr"
"光陰的故事","張艾嘉","童年","華語經典","Playlist","TWA458100509","3ZZNnSd8qdyj81RM37UDbC"
"光陰的故事","羅大佑","之乎者也","華語經典","Playlist","TWAW18200009","4GwmjZQRcy9Cd6Nqupd8JK"
"我的未來不是夢","Zhang Yu Sheng","六個朋友","華語經典","Playlist","TWA538896106","7waQoUkjuQEEPlWv9ImbnW"
"我是不是你最疼愛的人","潘越雲","我是不是你最疼愛的人","華語經典","Playlist","TWA458921302","2dj6TorhKDlNMcbWlMQmoR"
"過火","Jeff Chang","選哲","華語經典","Playlist","TWB539550126","7BtnKGiYvng5BPBwLyX3Xt"
"愛如潮水","Jeff Chang","絕對收藏張信哲","華語經典","Playlist","TWA259300702","0OOIgBn2ba6BQLInoUuZnj"
"誰的眼淚在飛","孟庭葦","誰的眼淚在飛","華語經典","Playlist","TWA559344101","1rK9vaVC0FsWQjCyzQ95aI"
"三月裡的小雨","劉文正","群星會 16 劉文正 (珍藏系列)","華語經典","Playlist","FR96X1994083","2jxkv55Kvr1fywGZ5Z53Dv"
"最近","Sam Lee","關於妳的歌","華語經典","Playlist","TWF750688202","57pUHpCltt09b5w1W6m9qb"
"來生緣","Andy Lau","來生緣","華語經典","Playlist","HKD240000092","7J1yaTGMr5PIrOKsCFg4tw"
"亞細亞的孤兒","羅大佑","羅大佑自選輯","華語經典","Playlist","TWAW18300002","1W3YvAk4Y2hWQcS8flKsJH"
"鹿港小鎮","羅大佑","之乎者也","華語經典","Playlist","TWAW18200001","1C8RqJs8IqMBP2C86iSbNV"
"出嫁","Zhang Qing Fang","張清芳 25th 那些你最喜歡的歌","華語經典","Playlist","TWA239200085","6PfK0jvFrTeS98QhNVJaG2"
"天天年輕","Zhang Qing Fang","張清芳 25th 那些你最喜歡的歌","華語經典","Playlist","TWA239000027","6HdMNJSM89sOEpy157Nrf7"
"滾滾紅塵","Sarah Chen","給淑樺的一封信","華語經典","Playlist","TWA459026606","2PxegUo4gyKVdIp6ySUQXY"
"再回首","Chiang Yu-Heng","多年以後 / 再回首","華語經典","Playlist","TWA538999301","206uxOQVHqRJh06auGLKJJ"
"其實你不懂我的心","童安格","其實你不懂我的心","華語經典","Playlist","TWA750100501","0ueEyGG4GhWLROGgM1E9iC"
"妳知道我在等妳嗎","張洪量","心愛妹妹的眼睛","華語經典","Playlist","TWA458918702","6PqZkFSv7Iqec6nvDcHgeW"
"夢醒時分","Sarah Chen","跟你說聽你說","華語經典","Playlist","TWA458920301","31tZJyXMJaWBYStW7QmE5t"
"把悲傷留給自己","Bobby Chen","私奔","華語經典","Playlist","TWB839130101","62lok5DKdhSRSpdWB3UTmx"
"得意的笑","李麗芬","愛不釋手","華語經典","Playlist","TWA459336402","3oWpyjQjV9xCkOxzJXYj9o"
"留不住的故事","Tracy Huang","賭徒","華語經典","Playlist","TWA538602502","0lYMK0V3VvuqPTcrBkmJ8m"
"你怎麼捨得我難過","黃品源","男配角心聲","華語經典","Playlist","TWA459023802","1M97kKsHd1mw2rj4WCH2TA"
"鍾愛一生","Alex To","MY LOVE","華語經典","Playlist","TWA459129001","6Bf1ulwNv6XHKaAX6vXcBy"
"藍色啤酒海","黃韻玲","藍色啤酒海","華語經典","Playlist","TWA458714101","0Low1A54CVKDPzwXNM2QRb"
"快樂天堂","Various Artists","快樂天堂","華語經典","Playlist","TWA458713601","65TZD5Ansv723tNjPkv9VA"
"新不了情","Wanfang","ONE 芳新歌+精選","華語經典","Playlist","TWA459337801","3iSUQPIvnhSOI97sfWMhix"
"大海","Zhang Yu Sheng","大海","華語經典","Playlist","TWA539226506","4XglvuvmwdVQ1MpV3zNUnR"
"海闊天空","Beyond","華納廿三週年紀念精選系列 - Beyond","華語經典","Playlist","HKI499327206","77uktQePd9IdeMPVWlu1cO"
"秋蟬","徐曉菁","金韻獎(五)","華語經典","Playlist","TWA511300157","5Y8Qy7WfsyNS02X2ytgGeZ"
"看我聽我","包美聖","歌聲滿行囊","華語經典","Playlist","TWA511300042","6gAYcANCZA2QY9nCxkeJkr"
"青梅竹馬 - Live","周治平","那一個春天浪漫夜晚 96'年演唱會紀實 (Live)","華語經典","Playlist","QM4TX1928856","5BBLLuvCUXujPQIqQSFFEZ"
"一千個傷心的理由","Jacky Cheung","真愛 新曲 + 真正精選","華語經典","Playlist","HKA610000963","2qGihe72sYAOwt2w5EjtNp"
"男人不該讓女人流淚","William So","The Big Hits Big Four","華語經典","Playlist","HKG070200042","0h6OAJ9vOxlVmJPV6SVXdP"
"橄欖樹","Chyi Yu","齊豫中文聲音自傳(敢愛)","華語經典","Playlist","TW1910301103","5CQefbCMCNSORDWWjvFFpy"
"謝謝你曾經愛我","潘越雲","潘越雲精選輯(三) 舊愛新歡","華語經典","Playlist","TWA458613001","4hrgnUUPyL6pEgPlw2GggF"
"心的方向","Wakin Chau","周而復始","華語經典","Playlist","TWA458714201","1OseNaZwtyWTlqjnxSToi7"
"我記得你眼裡的依戀","Wanfang","ONE 芳新歌+精選","華語經典","Playlist","TWA459234601","65N9BLuJprbFgKOcDMhV0H"
"一場遊戲一場夢","Dave Wang","一場遊戲一場夢","華語經典","Playlist","TWA538705401","0Id7swY6cWbvYLtVVF0wvq"
"永遠不回頭","星河群星","永遠不回頭 (國語暢銷金曲2歌唱版)","華語經典","Playlist","TWAN79060051","72LSijQbFMfY5skRI5X20c"
"她像個孩子","劉文正","走過歲月-巨星風華璀璨經典(4)","華語經典","Playlist","TWDK50904036","3quhU9o7KNPOVyKPzzDBRm"
"認錯","優客李林","昨日·今日·永遠 - 作品精選輯","華語經典","Playlist","TWA239100001","3YKF20eSMqOHcS0qIRLciU"
"朋友","Wakin Chau","周而復始","華語經典","Playlist","TWB819754502","3Dd2efAffhtOCm9isJuVvs"
"花心","Wakin Chau","花心","華語經典","Playlist","TWB819334803","0qow1ioAiifBQrPOOxYyUE"
"南屏晚鍾","Fei Yu-ching","費玉清國語精選輯","華語經典","Playlist","TWAN70260034","38p78HqMLjECALsH0MWT7U"
"手放開","Sam Lee","絕對痴心.手放開","華語經典","Playlist","TWF750481602","5Fk26WYo4rPF4zhKMsRUc2"
"海上花","Jenny Tseng","甄妮至愛2000精選","華語經典","Playlist","HKA418700017","1eeoE5ynmQmyPBB17RisKh"
"微風往事","鄭怡","重拾舊歡","華語經典","Playlist","TWA511300287","6CGBifUNB4Jv2i0mjCBTig"
"星星點燈","鄭智化","星星點燈","華語經典","Playlist","TWA539226701","502oVRqbvjsMlrT4hthQuJ"
"天涼好個秋","錦繡二重唱","錦繡羅曼史 Ι 美麗與哀愁","華語經典","Playlist","TWA450069301","7dz1y2hZ6CLgkXTvEkxbYY"
"閃亮的日子","劉文正","劉文正閃亮的日子","華語經典","Playlist","TWDK57804009","4rElxPM7LXSGzBRvA496dI"
"追夢人","羅大佑","羅大佑自選輯","華語經典","Playlist","TWX351700292","7e6MCvVZOesnpuc8lTgUhp"
"安妮","Dave Wang","王傑超級精選集一番傑作","華語經典","Playlist","TWA538705406","1KQHbbmQANjmWcdTKlfglq"
"是否我真的一無所有","Dave Wang","是否我真的一無所有","華語經典","Playlist","TWA538907902","34PMaFWx06OD8ZAB8saXGt"
"愛人同志","羅大佑","香港搞搞真意思演唱會","華語經典","Playlist","TWX351700192","41xLzPMzJ6vl8tOg00ORwz"
"童年","羅大佑","之乎者也","華語經典","Playlist","TWAW18200003","4KRijBbZ4oqh9c7VBlFh4p"
"風兒你在輕輕的吹","羅大佑","閃亮的日子","華語經典","Playlist","TWAW18900006","7H7megS9YTeGITEuhrcMhC"
"戀曲1990","羅大佑","愛人同志","華語經典","Playlist","TWAW18800002","1ldLT8n6fkQRBDW872sUqt"
"望天","文章","望天","華語經典","Playlist","MYON11670013","2wDtA7xMIvK5axgJ7Or2Sw"
"年輕的心","巫啟賢","年輕的心","華語經典","Playlist","MYHY11604942","1FboUzWb23ptgtnMefYKBo"
"親密愛人","Anita Mui","追憶似水芳華","華語經典","Playlist","HKE050900116","4FTUnlrobUhlN5iqtmStj2"
"戀你","Wanfang","滾石香港黃金十年-萬芳精選","華語經典","Playlist","TWA459337107","2RCiF6hsKJHbhMqgzC4qpB"
"刀劍如夢","Wakin Chau","周而復始","華語經典","Playlist","TWB819439607","0IL86chU9YN5DPvCbLKGy9"
"站在高崗上","A-Mei Chang","妹力四射","華語經典","Playlist","TWB519704102","7veCFg9AwGhJj9T8QOYtqc"
"你的樣子","林志炫","至情志炫","華語經典","Playlist","TWB650400714","5uQmshFAh0jUTSSytOrkw0"
"當你孤單你會想起誰 Live","Nicholas Teo","張棟樑 《口袋的五度世界》演唱會Live數位專輯","華語經典","Playlist","T-WDW3-18-01115","1Ss8OJTB3Ru4YIT4oxAsnT"
"耶利亞女郎","童安格","夢開始的地方","華語經典","Playlist","TWA750100513","2koNNCdwAOdCdKtuNDJKWY"
"冬季到台北來看雨","孟庭葦","冬季到台北來看雨","華語經典","Playlist","TWA559244101","59db3kNoPFmph8WgnGRzw0"
"愛江山更愛美人","李麗芬","愛不釋手","華語經典","Playlist","TWA459438708","5LRnfm4nmmfBEGgkrKrSQv"
"女人花 - 梅艷芳ANITA電影歌曲","Anita Mui","女人花","華語經典","Playlist","TWB019700301","5mT2vYNRDx8eOsdp2LFkc8"
"小薇","黃品源","簡單情歌-小薇","華語經典","Playlist","TWA450272403","1GtHVck6KPSd21Km4K2A2Y"
"明天我要嫁給你","Wakin Chau","滾石香港黃金十年-周華健精選","華語經典","Playlist","TWB819334807","6sbm3BAjNy1rF8b2tucT7X"
"凡人歌","李宗盛","滾石香港黃金十年-李宗盛精選","華語經典","Playlist","TWA459130001","24vuO1Jjait7vxT3C00SZ7"
"瀟灑走一回","Sally Yeh","瀟灑走一回","華語經典","Playlist","HKI499503202","4GwFHyuFlXsjLiyRBdx3FD"
"九佰九拾九朵玫瑰","邰正宵","找一個字代替","華語經典","Playlist","TWA219303402","6Q1ssLk8aC7VuP2Ve6asWM"
"海上花","鄭怡","心情","華語經典","Playlist","TWA178700605","20k7Ja697Ja3sJszelKjsg"
"那一場風花雪月的事","周治平","風花雪月作品集壹","華語經典","Playlist","QM4TX1928549","2gwU4X5uJjB0cNApqvunfX"
"掌聲響起","鳳飛飛","情 . 深 . 緣2至愛動人回憶","華語經典","Playlist","","7LBRgYIDXEkmTBJKgsizfi"
"雨中即景","王夢麟","重拾舊歡","華語經典","Playlist","TWA511300072","6p9kIoWm4akvCQuIKBAs5n"
"孤枕難眠","Wakin Chau","周而復始","華語經典","Playlist","TWB819334802","3NobtgDWmxOQGWu9kGaBru"
"ONE NIGHT IN BEIJING","Bobby Chen","滾石30青春音樂記事簿 Vol. 17 畢業旅行","華語經典","Playlist","TWB839233305","0OoGQRsDlFq9fAtv0f7XfN"
"心語","沈雁","經典復刻22沈雁","華語經典","Playlist","TWS050902209","2eU78CCI5Wz0vpxfTBLngE"
"三百六十五里路","文章","三百六十五里路","華語經典","Playlist","TWA171103701","2i9RDcAQLI0DUkzFDvU27N"
"鄉間的小路","Chyi Yu","民謠風(一)","華語經典","Playlist","TWA310800507","1ncjUuDfJyd4Wkm93ict7i"
"古月照今塵","文章","古月照今塵","華語經典","Playlist","TWA171103801","1Y3EwNpeOr6rmWaMw179iE"
"癡心的我","邰正宵","重燃愛戀","華語經典","Playlist","TWA219405307","0ZV4wLsP6MAuIZNHUdHisA"
"你知道我在等你嗎 - 修復版","Jenny Tseng","春去春又回 (修復版)","華語經典","Playlist","MYHY11500122","3hLAN3ORtYFiBENhrgUhfq"
"愛上一個不回家的人","Sandy Lam","愛上一個不回家的人","華語經典","Playlist","HKI499124301","5yIoL0La1bMBeI659ZHwcV"
"風兒輕輕吹","劉文正","群星會 16 劉文正 (珍藏系列)","華語經典","Playlist","FR96X1994077","1DygyoozkvlfaDhuMNkXKr"
"明明白白我的心","Sarah Chen","給淑樺的一封信","華語經典","Playlist","TWA459230205","2uxPl6yJlHM1bx6Bic2tRd"
"偶然","YinShia","銀霞國語精選","華語經典","Playlist","TWAN70360596","4QQWpvf1vvbhpC1NKgHXBJ"
"為了愛夢一生","Dave Wang","為了愛.夢一生","華語經典","Playlist","TWA539116501","6qhBqr4X10HoMCe5uY8GdK"
"酒矸倘賣無 - 電影《搭錯車》歌曲","Julie Sue","搭錯車(電影原聲大碟)","華語經典","Playlist","HKUM71300337","5Q6FVCW5E3hp5Jl23KLzNN"
"魯冰花","曾淑勤","裝在袋子裡的回憶","華語經典","Playlist","TWA238900044","1dhvomVti392DiLAvrI1re"
"昨夜星辰","林淑容","林淑容羅時豐無言的結局真經典演唱會","華語經典","Playlist","HKC631506215","5onOWX2Q2rjcku1p5sO9OY"
"是否","Julie Sue","愛就這麼來","華語經典","Playlist","TWB519804910","0SEQdKxVSj4hX2SZROG2Pd"
"夢不到你 - Remastered","Tracy Huang","日安 / 我的愛 (Remastered)","華語經典","Playlist","TWA531801065","27t3t8GFOK8sdrcfoPisMx"
"晚安曲","Fei Yu-ching","晚安曲","華語經典","Playlist","TWA539400310","6YigcJsVvp5zDGZmdhKNJ1"
"鄉間小路","Chyi Yu","金韻民歌, Vol. 1","華語經典","Playlist","TWAN70560009","2hGi5HcA46H5rZ6wqsOLNL"
"夢田","Chyi Yu","回聲","華語經典","Playlist","TWA458512111","3pRFy5fnOVX1M9gl04IzAH"
"吻別","Jacky Cheung","吻別","華語經典","Playlist","HKA619900522","1k0YFNylstvLBC3C5vPWP9"
"年輕不要留白","City Girls","年輕不要留白","華語經典","Playlist","TWA118700102","2GjV3m0dSqH6rgtK1ggiiE"
"無言的結局","Daniel Lo","羅時豐國語精選","華語經典","Playlist","TWA750001501","0YKJCMDtdfZs6MTtUSnBk9"
"愛到最高點","SKY WU","等著你愛著你","華語經典","Playlist","TWA178900203","3DsiqPrPefCerD02VtVqzj"
"擁抱著我","娃娃","金智娟經典重生輯","華語經典","Playlist","TWA319719501","5b73I7EaAv8MYmQAzgELON"
"原來的我","齊秦","巨星精選(二)-揚帆","華語經典","Playlist","","bd7b5439ee8ac332ffb1d1a76b402b73"
"聽說你離開他","周子寒","聽說你離開他","華語經典","Playlist","TWDK59007081","2iMhER2kNVsM3aMM2S9TX3"
"鬼迷心竅","李宗盛","滾石香港黃金十年-李宗盛精選","華語經典","Playlist","TWA459233004","0KbPM4avkXu7RHal3cxiwk"
"問情","蔡幸娟","90年代醉情金曲絕唱精選, Vol. 2","華語經典","Playlist","FR2X41877400","6SCFJrokWgnvXkIO0p10pk"
"一翦梅","Fei Yu-ching","天之大","華語經典","Playlist","TWA471006010","5Vnx5i9VJSZ6ayfK6jncf8"
"紅紅青春敲呀敲","東方快車","搖滾寓言","華語經典","Playlist","TWA539117001","5cTgpYVLBgf81TZjX8KZEZ"
